stage,model,model__bootstrap,model__max_depth,model__max_features,model__min_samples_leaf,model__min_samples_split,model__n_estimators,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,roc_auc
CV,RandomForest,True,15.0,,1,2,500,0.8903599999999999,0.5265697660561314,0.49310174128045875,0.06086482515672868,0.9922747069555339,0.10831529014019074,0.7004753115866709
CV,RandomForest,True,15.0,,3,2,500,0.8907399999999999,0.5273442794726286,0.5087713774502575,0.06214436569749484,0.9925441932477621,0.11068121459094285,0.7010249423492425
CV,RandomForest,True,15.0,,5,2,500,0.89096,0.5283496741514517,0.5153194153969735,0.06415516766422077,0.9925441806386827,0.11403587235806004,0.7019857804773371
CV,RandomForest,True,,sqrt,1,2,500,0.8916799999999998,0.5144858848931557,0.6018375350140056,0.03162171412352976,0.9973500556627817,0.06002876032188533,0.6987897432031265
CV,RandomForest,True,,sqrt,3,2,500,0.89194,0.5177578395537843,0.612147364991168,0.038749509570676084,0.9967661695368925,0.07273120295010135,0.7126085978020482
CV,RandomForest,True,,sqrt,5,2,500,0.89184,0.5188236980370624,0.5914159224171002,0.04130792283355455,0.9963394732405699,0.07702466946678597,0.7135288991525988
CV,RandomForest,True,,log2,1,2,500,0.89092,0.506763989672147,0.5783709480483674,0.01498768709356974,0.9985402922507245,0.029167321606460545,0.6976314252367517
CV,RandomForest,True,,log2,3,2,500,0.89184,0.5124111290655209,0.6519288410995727,0.026686200362291617,0.9981360577687501,0.0511620974178301,0.7108847680763813
CV,RandomForest,True,,log2,5,2,500,0.892,0.5153867327863931,0.6337322456416414,0.033266217558621955,0.9975072480141645,0.06305410641211431,0.7115599622892259
CV,RandomForest,True,,0.3,1,2,500,0.8912599999999999,0.5269955508366361,0.528202184766616,0.06068334543754643,0.9933077562357256,0.1088428624691824,0.7005718344972605
CV,RandomForest,True,,0.3,3,2,500,0.89204,0.5247082952889991,0.573767139425807,0.05446945981818637,0.9949471307598119,0.09944698063289656,0.7089720014864087
CV,RandomForest,True,,0.3,5,2,500,0.8920199999999999,0.5250172832111976,0.5723002882188671,0.05519971951616538,0.9948348469062299,0.10063282526866846,0.7130383299450436
CV,RandomForest,True,,0.5,1,2,500,0.89036,0.5300161387520476,0.49354501748795265,0.06872321421118097,0.991309063292914,0.12060834021796626,0.6944352359025739
CV,RandomForest,True,,0.5,3,2,500,0.8912000000000001,0.5272021506054108,0.5294791988548981,0.06123129064302588,0.9931730105677957,0.1096677401734932,0.7041030545325219
CV,RandomForest,True,,0.5,5,2,500,0.89132,0.5255860162861962,0.5363110995009104,0.05739266902072741,0.993779363551665,0.10360842231185448,0.7071770004274945
CV,RandomForest,True,,,1,2,500,0.8874600000000001,0.5343204850337051,0.42614770802017593,0.08225004799946574,0.9863909220679445,0.13783094440880456,0.6829398319829604
CV,RandomForest,True,,,3,2,500,0.88956,0.5303691049577558,0.47011652563450534,0.07055203559473425,0.9901861743207773,0.12261658174528826,0.6922333760182028
CV,RandomForest,True,,,5,2,500,0.89036,0.5301772335029111,0.4935027037940838,0.069090347516132,0.9912641194896903,0.12114939003810102,0.6966206157735015
Test,RandomForest,True,,sqrt,5,2,500,0.89258,0.5218849080129532,0.6196172248803827,0.04734052275635167,0.9964292932695547,0.08796060451689591,0.7138848586406072
